Method,alien,amidar,assault,asterix,bankheist,battlezone,boxing,breakout,choppercommand,crazyclimber,demonattack,freeway,frostbite,gopher,hero,jamesbond,kangaroo,krull,kungfumaster,mspacman,pong,privateeye,qbert,roadrunner,seaquest,upndown,MedianHNS26
IRIS \cite{micheli_transformers_2023},2.7862520742903936,8.007679155993067,250.57446931352365,7.760481352417012,5.264582487481392,30.763046443184265,581.3278008298755,284.85059068797773,11.464542026517456,193.79573554128123,103.4855656897187,105.06928016221696,4.541515399929735,91.81400529026868,20.169613982549325,158.40029218407597,26.35601743211532,470.1250644058269,95.65571363745562,10.41193203196725,100.0,0.1079280065843848,4.377509194108548,122.59015765622009,1.4121272891395529,26.996899586014084,28.879973014599173
DIAMOND \cite{alonso_diffusion_2024},7.483387560779426,12.839245388713508,250.959373376186,42.06407582024044,0.744349709026932,6.724571100423516,720.746887966805,454.41278665740094,8.496533268458824,352.8590077807808,7.478572567388522,112.5042244001352,4.892844595385878,261.74300431574545,15.419187548218204,145.50766983199415,178.68588669125043,656.8972785610567,82.10367562661826,24.84686121939105,116.42594165958651,0.1284898303807704,32.61892150548637,263.7607710474245,1.149898895592134,29.7756232190541,37.3414986628634
EfficientZero-V2 \cite{wang_efficientzero_2024},19.274777353459083,10.45263839694701,295.4350378168241,742.7682587148663,176.27554472865071,34.665996698011625,621.9917012448134,1384.2251563585824,5.863033694197785,405.5379677351101,1243.6668810784363,-0.0337952010814464,25.08724675020494,167.5762216344146,29.121463061541785,160.44558071585098,61.50519611129735,700.9180757880931,127.34698235592452,29.25364598227052,117.55876522231664,0.1076404286291906,119.58676168750264,351.12274206931767,4.538623312842523,131.64124805104032,123.46687202171356
SAC-BBF (RR2) \cite{zhang_generalizing_2024},13.488358611294284,12.01636197067216,312.4689671099478,65.49202368176722,115.36202463120856,56.28023831742158,697.4854771784233,1130.3822098679636,121.8616956574626,296.0293665590106,1060.2090239866295,55.5795876985468,49.28118046609674,43.89994895354772,19.904071990638748,428.6705624543462,175.5481059336239,588.9521757459365,77.80298783688797,24.308204024502203,102.68762390257716,0.0498113776191881,30.622851949271396,308.3436522627178,2.324329602751374,307.4879478126848,90.24530586973256
HarmonyDream \cite{ma_harmonydream_2024},9.597895636924903,7.890974657618177,150.22998017744078,11.213871438390028,142.75274056029232,40.47376354891968,663.4854771784233,178.17929117442668,10.628269067023476,287.27209578065305,2.799997800904928,-0.0337952010814464,14.376390678065343,593.3175553389948,41.44720217802824,105.18626734842952,169.8290311766678,576.696800786922,97.94330406000589,20.67486416928796,112.46105919003116,4.180031852134317,28.358182004225377,186.81942937384312,1.4209396874694842,92.6593666553164,67.05328441667231
REM \cite{cohen_improving_2024},5.499315212429077,5.224276869751945,296.7244664267431,17.2126897616148,0.6766815536608473,27.17967123680999,725.7261410788383,309.1730368311327,26.61172606738839,262.5548427276248,307.13276486725715,109.12470429199054,4.105867197564118,241.0691911457608,18.315216096415263,132.2863403944485,13.932282936640965,226.67572251627703,110.83691464467164,9.86108393660732,109.62900028320588,0.1073528506739964,4.357194878986872,179.34129061083806,2.306228460235839,28.89119876700299,28.03543500190649
DART \cite{agarwal_learning_2024},10.641381459285936,6.99818524505027,210.46746598410348,8.997624588523266,83.29949925565029,37.22632976814299,688.3817427385893,139.6108408617095,6.884807201070428,92.9785339875204,126.46061145838488,108.78675228117608,6.595620096029981,79.95266601698454,13.0875993265643,118.3710737764792,78.04223935635267,567.7315096725841,104.48442463230388,12.422678084975091,107.36335315774566,1.0651312304482938,4.41663306026881,99.07448777685582,1.9706428049149367,30.655567304073543,78.9974526866686
MOOSS \cite{sun_mooss_2024},10.483409300067391,11.771399228583263,85.5660976501607,11.213871438390028,37.055081878468,25.851123393869784,185.47717842323647,52.39749826268242,10.126505291327089,41.17067016914914,41.33913894432441,68.57046299425481,66.36140063239255,21.987099169335,28.53823042923976,108.58290723155588,203.5098893731143,243.36971286711315,85.16758757529652,15.876766551781229,46.92721608609459,0.1079280065843848,24.33293808196751,243.3841833152486,0.9219674036530964,57.62200039427229,41.254904556736776
DreamerV3 \cite{hafner_mastering_2024},12.90226740773484,5.323475693370601,88.64533015145975,10.273353188718604,51.94207605900663,51.511018591630176,680.0829875518673,28.769979152189016,21.45420265174553,301.188874561358,23.361536727636576,-0.0337952010814464,77.56880196744349,88.28251891039027,41.36666372477595,186.6325785244704,86.8588669125042,615.761862382313,114.07477600121008,18.266785063889348,47.32370433305013,4.62002612358145,20.744075743804885,245.3373332482288,2.1283132831423583,415.56837936163726,49.41736146234015
SimPLe \cite{kaiser_model-based_2024},5.639895941274937,3.998879636815601,58.66130367006025,11.072793700939313,2.706726214643389,4.798506926997344,64.31535269709543,51.00764419735927,2.560515752341564,206.80788377932765,3.0803824226330865,56.404190604934094,4.021548190654643,15.74086964592324,5.468661648897311,26.113951789627464,-0.0268186389540729,56.841069839336754,64.97077116087874,17.649714793130954,94.90229396771454,0.0144651711462684,8.463696061731442,71.85932214208208,1.4645253332634691,25.24149178300686,13.406831673431276
